file,line,character,severity,type,reason,rule_id
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,55,60,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,59,62,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,63,62,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,67,62,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,71,65,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,75,65,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,79,65,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,83,65,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,87,68,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,91,68,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,95,68,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,99,71,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,103,71,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,107,74,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,111,77,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,115,77,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,35,54,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,39,54,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,43,57,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,47,60,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,51,63,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,55,64,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,59,66,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,63,66,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,67,66,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,71,69,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,75,69,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,79,69,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,83,69,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,87,72,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
